campany,location,duration
Orange Studio -,"Nasr City, Cairo, Egypt ",Full Time
Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full Time
Crystal Gallery -,"Dubai, United Arab Emirates ",Full Time
Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full Time
INTERNET SOLUTIONS -,"Sheikh Zayed, Giza, Egypt ",Full Time
CompactSoft International  -,"Nasr City, Cairo, Egypt ",Full Time
Arabia for Information Technology -,"Cairo, Egypt ",Full Time
Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full Time
Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time
Dubai Media Incorporated -,"Dubai, United Arab Emirates ",Full Time
scandiweb -,"Riga, Latvia ",Full TimeWork From Home
Petra Mechatronics -,"Nasr City, Cairo, Egypt ",Full TimeWork From Home
Premium Solutions Consultancy -,"Doha, Qatar ",Full Time
Qatar Airways - Other locations -,"Doha, Qatar ",Full Time
Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time
شيلتر تكنولوجي -,"New Cairo, Cairo, Egypt ",Full Time
PICO -,"Zamalek, Cairo, Egypt ",Full Time
Dafa -,"Haram, Giza, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Mc Ledger -,"Dokki, Giza, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
qTech.  -,"Mansoura, Dakahlia, Egypt ",Full Time
Thaka International -,"Badr City, Cairo, Egypt ",Full Time
ICIS -,"New Cairo, Cairo, Egypt ",Full Time
FlairsTech -,"Maadi, Cairo, Egypt ",Full Time
Orange Studio -,"Nasr City, Cairo, Egypt ",Full Time
Bevatel -,"Dokki, Giza, Egypt ",Full Time
Staron Egypt -,"Cairo, Egypt ",Full Time
PQS -,"10th of Ramadan City, Sharqia, Egypt ",Full Time
Centione -,"Nasr City, Cairo, Egypt ",Full Time
FlairsTech -,"Maadi, Cairo, Egypt ",Full Time
webSTDY -,"Mohandessin, Giza, Egypt ",Full Time
ITFAQ -,"Dubai, United Arab Emirates ",Full Time
choice -,"Cairo, Egypt ",Full TimeWork From Home
Egypt HiTech   -,"Mansoura, Dakahlia, Egypt ",Full Time
CyShield For Technology -,"Cairo, Egypt ",Full Time
Giza Arabia Systems -,"Cairo, Egypt ",Full Time
Giza Arabia Systems -,"Cairo, Egypt ",Full Time
AL-AYUNI -,"Riyadh, Saudi Arabia ",Full Time
FlyAkeed -,"Riyadh, Saudi Arabia ",Full Time
AMIT Experts -,"Cairo, Egypt ",Full Time
IBM WTC Egypt -,"Cairo, Egypt ",Full Time
Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full Time
Debugcell -,"Cairo, Egypt ",Full TimeWork From Home
StudentGator -,"Dokki, Giza, Egypt ",Full Time
Dautom -,"Sharjah, United Arab Emirates ",Full Time
egabi solutions -,"Cairo, Egypt ",Full Time
Core Technology Solutions  -,"Maadi, Cairo, Egypt ",Full Time
Lucid Motors -,"Riyadh, Saudi Arabia ",Full Time
Orevan -,"6th of October, Giza, Egypt ",Full Time
Orevan -,"6th of October, Giza, Egypt ",Full Time
Deriv -,"Dubai, United Arab Emirates ",Full Time
United Nations Development Program -,"Dubai, United Arab Emirates ",Full Time
Nas Studios -,"Dubai, United Arab Emirates ",Full Time
Puffin -,"Sheikh Zayed, Giza, Egypt ",Full Time
Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time
Easygenerator -,"Dubai, United Arab Emirates ",Full Time
MOOLA -,"Cairo, Egypt ",Full Time
Confidential -,"Heliopolis, Cairo, Egypt ",Full TimeWork From Home
Softwareclub -,"Cairo, Egypt ",Full Time
Eram Talent -,"Riyadh, Saudi Arabia ",Full Time
Tam Development LLC -,"Riyadh, Saudi Arabia ",Full TimeWork From Home
Sana Commerce -,"Dubai, United Arab Emirates ",Full Time
Orange Digital Ventures -,"Cairo, Egypt ",Full Time
Redford Recruiters -,"Abu Dhabi, United Arab Emirates ",Full Time
American University of Sharjah -,"Sharjah, United Arab Emirates ",Full Time
Core Technology Solutions  -,"Maadi, Cairo, Egypt ",Full Time
"National Oilwell Varco, Inc. -","Riyadh, Saudi Arabia ",Full Time
FlairsTech -,"Maadi, Cairo, Egypt ",Full Time
Confidential -,"Obour City, Cairo, Egypt ",Full Time
DXC -,"Cairo, Egypt ",Full Time
Salt Search Ltd -,"Dubai, United Arab Emirates ",Full Time
Salem Ventures -,"New Cairo, Cairo, Egypt ",Full Time
Arabia for Information Technology -,"Cairo, Egypt ",Full Time
enoc -,"Dubai, United Arab Emirates ",Full Time
GAC -,"Dubai, United Arab Emirates ",Full Time
ROSHN -,"Jeddah, Saudi Arabia ",Full Time
People Dynamics -,"Doha, Qatar ",Full Time
Salt Search Ltd -,"Abu Dhabi, United Arab Emirates ",Full Time
IT-Gates -,"Nasr City, Cairo, Egypt ",Full Time
Heliopolis University -,"Obour City, Cairo, Egypt ",Full Time
Raya Holding for Financial Investments -,"Cairo, Egypt ",Full Time
Skydest -,"Dubai, United Arab Emirates ",Full Time
ECS ME -,"Dubai, United Arab Emirates ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Investsky -,"Dubai, United Arab Emirates ",Full Time
Investsky -,"Dubai, United Arab Emirates ",Full Time
eBSEG -,"Maadi, Cairo, Egypt ",Full Time
Dillx -,"New Cairo, Cairo, Egypt ",Full Time
Alexa Hoste For Software -,"Ameria, Alexandria, Egypt ",Internship
Interact Technology Solutions -,"Maadi, Cairo, Egypt ",Full Time
DXC -,"Cairo, Egypt ",Full Time
Technip Energies -,"Abu Dhabi, United Arab Emirates ",Full Time
Kashier Payment Solutions -,"Zamalek, Cairo, Egypt ",Full Time
GPS -,"Heliopolis, Cairo, Egypt ",Full Time
National Technology -,"Nasr City, Cairo, Egypt ",Full Time
Informatique Education -,"Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Softec Technologies -,"Maadi, Cairo, Egypt ",Full Time
Cenomi Group -,"Riyadh, Saudi Arabia ",Full Time
Rowaad -,"Nasr City, Cairo, Egypt ",Full Time
Envisions Employment Solutions -,"Cairo, Egypt ",Full Time
DISCOVERED -,"Dubai, United Arab Emirates ",Full Time
Dexef -,"Quweisna, Monufya, Egypt ",Full Time
3S Software -,"Cairo, Egypt ",Full Time
ADNOC (Abu Dhabi National Oil Company) -,"Abu Dhabi, United Arab Emirates ",Full Time
Etihad Aviation Group -,"Abu Dhabi, United Arab Emirates ",Full Time
GHD -,"Doha, Qatar ",Full Time
Four Seasons Hotels and Resorts -,"Dubai, United Arab Emirates ",Full Time
Etihad Airways -,"Abu Dhabi, United Arab Emirates ",Full Time
Hcmxperts -,"Cairo, Egypt ",Full Time
UrbaCon Contracting & Trading Company -,"Riyadh, Saudi Arabia ",Full Time
First Gulf Bank PJSC -,"Abu Dhabi, United Arab Emirates ",Full Time
First Abu Dhabi Bank -,"Abu Dhabi, United Arab Emirates ",Full Time
First Gulf Bank PJSC -,"Abu Dhabi, United Arab Emirates ",Full Time
First Abu Dhabi Bank -,"Abu Dhabi, United Arab Emirates ",Full Time
Ghobash Group -,"Dubai, United Arab Emirates ",Full Time
Qatar Airways - Other locations -,"Doha, Qatar ",Full Time
Caliberly -,"Dubai, United Arab Emirates ",Full Time
Alexandria For Programming -,"Riyadh, Saudi Arabia ",Full Time
SellAnyCar -,"Dubai, United Arab Emirates ",Full Time
Mediclinic International -,"Dubai, United Arab Emirates ",Full Time
Softwareclub -,"Cairo, Egypt ",Full Time
InHouse World Ltd  -,"Cairo, Egypt ",Full Time
CodeNinja -,"Jeddah, Saudi Arabia ",Full Time
Sana Commerce -,"Dubai, United Arab Emirates ",Full Time
Forgotten Mines LLC -,"Cairo, Egypt ",Part TimeWork From Home
Seena For Integrated Services LLC -,"Cairo, Egypt ",Full TimeWork From Home
Ether Technology -,"Mohandessin, Giza, Egypt ",Full Time
SellAnyCar -,"Dubai, United Arab Emirates ",Full Time
The American University in the Emirates -,"Dubai, United Arab Emirates ",Full Time
American University -,"Dubai, United Arab Emirates ",Full Time
CELESTE -,"Nasr City, Cairo, Egypt ",Full Time
Etisal EG -,"New Cairo, Cairo, Egypt ",Full Time
GetTechForce.com -,"Cairo, Egypt ",Full TimeWork From Home
Emirates Group Careers -,"Dubai, United Arab Emirates ",Full Time
Salt Search Ltd -,"Abu Dhabi, United Arab Emirates ",Full Time
TripleUnit Development -,"Nasr City, Cairo, Egypt ",Part Time
Fulton Hogan Ltd -,"Alexandria, Egypt ",Full Time
NASS Academy -,"Suez, Suez, Egypt ",Full Time
NASS Academy -,"New Menia, Minya, Egypt ",Full Time
NASS Academy -,"Sidi Gaber, Alexandria, Egypt ",Full Time
NASS Academy -,"Sheikh Zayed, Giza, Egypt ",Full Time
Youxel -,"Cairo, Egypt ",Full Time
Asset Technology Group -,"Sheraton, Cairo, Egypt ",Full Time
Engosoft -,"Nasr City, Cairo, Egypt ",Full Time
EgyBell Outsourcing and Payroll Solutions -,"Cairo, Egypt ",Full Time
Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full Time
Dubizzle Limited -,"Dubai, United Arab Emirates ",Full Time
Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time
ADNOC (Abu Dhabi National Oil Company) -,"Abu Dhabi, United Arab Emirates ",Full Time
LINK Development -,"Maadi, Cairo, Egypt ",Full Time
Bayut | dubizzle -,"Dubai, United Arab Emirates ",Full Time
SNC-Lavalin -,"Riyadh, Saudi Arabia ",Full Time
Finding From Egy  -,"Smouha, Alexandria, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
American University of Sharjah -,"Sharjah, United Arab Emirates ",Full Time
Wood -,"Dubai, United Arab Emirates ",Full Time
Bayut -,"Dubai, United Arab Emirates ",Full Time
Further Ventures Limited -,"Dubai, United Arab Emirates ",Full Time
MRM Advertising -,"Dubai, United Arab Emirates ",Full Time
Nile Creations -,"Heliopolis, Cairo, Egypt ",Full Time
Onecard -,"Nasr City, Cairo, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Oakfoods -,"Dubai, United Arab Emirates ",Full Time
Fivehotelsandresorts -,"Dubai, United Arab Emirates ",Full Time
UrbaCon Contracting & Trading Company -,"Doha, Qatar ",Full Time
Wärtsilä Corp -,"Dubai, United Arab Emirates ",Full Time
TRIMETIS -,"Maadi, Cairo, Egypt ",Full TimeWork From Home
Confidential -,"Riyadh, Saudi Arabia ",Full Time
Ditech Egypt -,"Cairo, Egypt ",Full Time
Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time
3S Software -,"Nasr City, Cairo, Egypt ",Full Time
Shahbandr -,"Sheikh Zayed, Giza, Egypt ",Full Time
Dimofinf Operations Center -,"Nasr City, Cairo, Egypt ",Full Time
Digis Squared (Digis2) ◦ Enabling smarter networks -,"Maadi, Cairo, Egypt ",Full Time
Bydotpy -,"New Cairo, Cairo, Egypt ",Full Time
Smartly -,"Nasr City, Cairo, Egypt ",Full Time
Digis Squared (Digis2) ◦ Enabling smarter networks -,"Maadi, Cairo, Egypt ",Full Time
Indegree -,"Dakahlia, Egypt ",Full Time
Loc-Camp -,"Haram, Giza, Egypt ",Full Time
Rashideen Egypt for Trade  -,"Cairo, Egypt ",Full Time
WUZZUF -,"Maadi, Cairo, Egypt ",Full Time
Arabian Advanced Systems -,"Cairo, Egypt ",Full TimeWork From Home
ICIS -,"Riyadh, Saudi Arabia ",Full Time
Yespays -,"New Cairo, Cairo, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
MYDRASA LTD -,"Cairo, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Full Time
Confidential -,"Nasr City, Cairo, Egypt ",Part TimeWork From Home
3S Software -,"Nasr City, Cairo, Egypt ",Full TimeWork From Home
Queen Tech Solutions -,"Heliopolis, Cairo, Egypt ",Full Time
Dolf -,"Heliopolis, Cairo, Egypt ",Full Time
Confidential -,"New Heliopolis, Cairo, Egypt ",Full TimeWork From Home
Dolf -,"Heliopolis, Cairo, Egypt ",Full Time
Dolf -,"Heliopolis, Cairo, Egypt ",Full Time
Post Distribution Company  -,"Maadi, Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Ejada  -,"Cairo, Egypt ",Full Time
egabi solutions -,"Cairo, Egypt ",Full Time
Trufla -,"Heliopolis, Cairo, Egypt ",Full Time
IKEN Technology -,"Maadi, Cairo, Egypt ",Full Time
34ML -,"Heliopolis, Cairo, Egypt ",Full Time
Confidential -,"Cairo, Egypt ",Full Time
Chaizer -,"Riyadh, Saudi Arabia ",Full TimeWork From Home
Edentech -,"Heliopolis, Cairo, Egypt ",Full Time
Premier Services and Recruitment -,"Maadi, Cairo, Egypt ",Full Time
RDI -,"Dokki, Giza, Egypt ",Full TimePart TimeFreelance / Project
Moltaqa -,"Mansoura, Dakahlia, Egypt ",Full Time
Confidential -,"New Cairo, Cairo, Egypt ",Full Time
Worley Parsons -,"Doha, Qatar ",Full Time
