campany,location,duration
Orange Studio -,"Nasr City, Cairo, Egypt ",Full Time
Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full Time
Crystal Gallery -,"Dubai, United Arab Emirates ",Full Time
Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full Time
INTERNET SOLUTIONS -,"Sheikh Zayed, Giza, Egypt ",Full Time
CompactSoft International  -,"Nasr City, Cairo, Egypt ",Full Time
Arabia for Information Technology -,"Cairo, Egypt ",Full Time
Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full Time
Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time
Dubai Media Incorporated -,"Dubai, United Arab Emirates ",Full Time
scandiweb -,"Riga, Latvia ",Full TimeWork From Home
Petra Mechatronics -,"Nasr City, Cairo, Egypt ",Full TimeWork From Home
Premium Solutions Consultancy -,"Doha, Qatar ",Full Time
Qatar Airways - Other locations -,"Doha, Qatar ",Full Time
Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time
Orange Studio -,"Nasr City, Cairo, Egypt ",Full Time
Target Recruitment  & HR Solutions  -,"Cairo, Egypt ",Full Time
Crystal Gallery -,"Dubai, United Arab Emirates ",Full Time
Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt ",Full Time
INTERNET SOLUTIONS -,"Sheikh Zayed, Giza, Egypt ",Full Time
CompactSoft International  -,"Nasr City, Cairo, Egypt ",Full Time
Arabia for Information Technology -,"Cairo, Egypt ",Full Time
Arabic Localizer -,"San Stefano, Alexandria, Egypt ",Full Time
Professional Recruitment -,"Riyadh, Saudi Arabia ",Full Time
Dubai Media Incorporated -,"Dubai, United Arab Emirates ",Full Time
scandiweb -,"Riga, Latvia ",Full TimeWork From Home
Petra Mechatronics -,"Nasr City, Cairo, Egypt ",Full TimeWork From Home
Premium Solutions Consultancy -,"Doha, Qatar ",Full Time
Qatar Airways - Other locations -,"Doha, Qatar ",Full Time
Carina Wear -,"New Cairo, Cairo, Egypt ",Full Time
